,Acronym,Meaning
1144,ebitda,"earnings before interest, taxes, depreciation and amortization"
1145,ecf,error carried forward
1146,edumacation,education
1147,eedyat,idiot
1148,eejit,idiot
1149,ef,f**k
1150,ef-ing,f**king
1151,efct,effect
1152,effed,f**ked
1153,efffl,extra friendly friends for life
1154,effin,f**king
1155,effing,f**king
1156,eg,evil grin
1157,ehlp,help
1158,eil,explode into laughter
1159,el!t,elite
1160,eleo,Extremely Low Earth Orbit
1161,ello,hello
1162,elo,hello
1163,em,them
1164,emm,email me
1165,emo,emotional
1166,emp,eat my p***y
1167,enat,every now and then
1168,enit,isn't it
1169,enof,enough
1170,enuf,enough
1171,enuff,enough
1172,eob,End of Business
1173,eoc,end of conversation
1174,eod,End of day
1175,eof,end of file
1176,eom,end of message
1177,eos,end of story
1178,eot,end of transmission
1179,eotw,end of the world
1180,epa,Emergency Parent Alert
1181,eq,Everquest
1182,eq2,Everquest2
1183,ere,here
1184,errythang,Everything
1185,errythin,everything
1186,esad,eat s**t and die
1187,esadyffb,eat s**t and die you fat f**king b*****d
1188,esbm,Everyone sucks but me
1189,esc,escape
1190,esl,eat s**t loser
1191,eta,Estimated Time of Arrival
1192,etla,extended three letter acronym
1193,etmda,Explain it to my dumb ass
1194,etp,eager to please
1195,eula,end user license agreement
1196,ev1,everyone
1197,eva,ever
1198,evaa,ever
1199,evar,ever
1200,evercrack,Everquest
1201,every1,everyone
1202,evn,even
1203,evr,ever
1204,evry,every
1205,evry1,every one
1206,evrytin,everything
1207,ex-bf,Ex-Boy Friend
1208,ex-gf,Ex-Girl Friend
1209,exp,experience
1210,ey,hey
1211,eyez,eyes
1212,ez,Easy
1213,ezi,easy
1214,f u,f**k you
1215,f#cking,f**king
1216,f&e,forever and ever
1217,f'n,f**king
1218,f-ing,f**king
1219,f.b.,facebook
1220,f.m.l.,f**k my life
1221,f.u.,f**k you
1222,f/o,f**k off
1223,f00k,f**k.
1224,f2f,face to face
1225,f2m,female to male
1226,f2p,free to play
1227,f2t,Free to talk
1228,f4c3,face
1229,f4eaa,friends forever and always
1230,f4f,female for female
1231,f4m,female for male
1232,f8,fate
1233,f9,fine
1234,[email protected],fat
1235,fa-q,f**k you
1236,faa,forever and always
1237,fab,fabulous
1238,faggit,faggot
1239,fah,Funny as hell
1240,faic,For All I Care
1241,fam,family
1242,fankle,area between foot and ankle
1243,fao,for attention of
1244,fap,masturbate
1245,fapping,masterbating
1246,faq,frequently asked question
1247,farg,f**k
1248,fashizzle,for sure
1249,fav,Favorite
1250,fave,favorite
1251,fawk,f**k
1252,fbgm,f**k b***hes get money
1253,fbimcl,Fall Back In My Chair Laughing
1254,fbk,facebook
1255,fbtw,Fine Be That Way
1256,fc,fruit cake
1257,fcbk,facebook
1258,fcfs,first come first served
1259,fck,f**k
1260,fckd,f**ked
1261,fckin,f**king
1262,fcking,f**king
1263,fckm3hdbayb,f**k Me Hard Baby
1264,fcku,f**k you
1265,fcol,for crying out loud
1266,fcuk,f**k
1267,fe,fatal error
1268,feat,Featuring
1269,feck,f**k
1270,fer,for
1271,ferr,For
1272,ff,friendly fire
1273,ffa,free for all
1274,ffcl,falling from chair laughing
1275,ffl,friend for life
1276,ffr,for future reference
1277,ffs,for f**k's sake
1278,fft,food for thought
1279,ffxi,Final Fantasy 11
1280,fg,f**king gay
1281,fgi,f**king google it
1282,fgs,for God's sake
1283,fgssu,For Gods sake shut up
1284,fgt,faggot
1285,fhrihp,f**k her right in her p***y
1286,fi,f**k it
1287,fi9,fine
1288,fibijar,"f**k it buddy, I'm just a reserve"
1289,fifo,"first in, first out"
1290,fify,Fixed It For You
1291,figjam,"f**k I'm good, just ask me"
1292,figmo,F*ck it - got my orders
1293,fiic,f**ked If I Care
1294,fiik,f**ked If I Know
1295,fimh,forever in my heart
1296,finna,fitting to
1297,fio,figure it out
1298,fitb,fill in the blank
1299,fiv,five
1300,fk,f**k
1301,fka,formerly known as
1302,fkd,f**ked
1303,fker,f**ker
1304,fkin,f**king
1305,fking,f**king
1306,fkn,f**king
1307,fku,f**k you
1308,flamer,angry poster
1309,flames,angry comments
1310,flicks,pictures
1311,floabt,for lack of a better term
1312,fm,f**k me
1313,fmah,f**k my ass hole
1314,fmao,freezing my ass of
1315,fmb,f**k me b***h
1316,fmbb,f**k Me Baby
1317,fmbo,f**k my brains out
1318,fmfl,f**k my f**king life
1319,fmflth,f**k My f**king Life To Hell
1320,fmh,f**k me hard
1321,fmhb,f**k me hard b***h
1322,fmi,for my information
1323,fmir,family member in room
1324,fmita,f**k me in the ass
1325,fml,f**k my life
1326,fmltwia,f**k me like the w***e I am
1327,fmn,f**k me now
1328,fmnb,f**k me now b***h
1329,fmnkml,f**k me now kiss me later
1330,fmph,f**k my p***y hard
1331,fmq,f**k me quick
1332,fmr,f**k me runnig
1333,fmsh,f**k me so hard
1334,fmth,f**k me to hell
1335,Fmu,f**k me up
1336,fmuta,f**k me up the ass
1337,fmutp,f**k me up the p***y
1338,fn,first name
1339,fnar,For No Apparent Reason
1340,fnci,fancy
1341,fnny,funny
1342,fnpr,for no particular reason
1343,fny,funny
1344,fo,f**k off
1345,fo shizzle,for sure
1346,fo sho,for sure
1347,foa,f**k off a**h**e
1348,foad,f**k off and die
1349,foaf,friend of a friend
1350,foah,f**k off a**h**e
1351,fob,fresh off the boat
1352,focl,Falling Off Chair Laughing.
1353,fofl,fall on the floor laughing
1354,foia,freedom of information act
1355,fol,farting out loud
1356,folo,Follow
1357,fomofo,f**k off mother f**ker
1358,foms,fell off my seat
1359,fone,phone
1360,foo,fool
1361,foobar,f**ked up beyond all recognition
1362,foocl,falls out of chair laughing
1363,fook,f**k
1364,for sheeze,for sure
1365,fos,full of s**t
1366,foshizzle,for sure
1367,fosho,for sure
1368,foss,"free, open source software"
1369,fotcl,fell off the chair laughing
1370,fotm,Flavour of the month
1371,fouc,f**k off you c**t 
1372,fov,Field of View
1373,foyb,f**k off you b***h
1374,fo`,for
1375,fp,first post
1376,fpmitap,federal pound me in the ass prison
1377,fpos,f**king piece of s**t
1378,fps,First Person Shooter
1379,fr,for real
1380,frag,kill
1381,fragged,killed
1382,fren,friend
1383,frens,friends
1384,frgt,forgot
1385,fri.,Friday
1386,friggin,freaking
1387,frk,freak
1388,frm,from
1389,frnd,friend
1390,frnds,friends
1391,fs,For Sure
1392,fse,Funniest s**t Ever
1393,fsho,for sure
1394,fsm,flying spaghetti monster
1395,fsob,f**king son of a b***h
1396,fsod,frosn screen of death
1397,fsr,for some reason
1398,fst,fast
1399,ft,f**k THAT
1400,ft2t,From time to time
1401,fta,From The Article
1402,ftb,f**k That b***h
1403,ftbfs,Failed to build from source
1404,ftf,face to face
1405,ftfa,From The f**king Article
1406,ftfw,For the f**king win!
1407,ftfy,Fixed that for you
1408,ftio,fun time is over
1409,ftk,For the Kill
1410,ftl,For The Lose
1411,ftlog,for the love of god
1412,ftlt,For the last time
1413,ftmfw,for the mother f**king win
1414,ftmp,For the most part
1415,ftp,file transfer protocol
1416,ftr,For The Record
1417,fts,f**k that s**t
1418,fttp,for the time being
1419,ftw,For the win!
1420,fu,f**k you
1421,fu2,f**k you too
1422,fua,f**k you all
1423,fuah,f**k you ass hole
1424,fub,f**k you b***h
1425,fubah,f**ked up beyond all hope
1426,fubalm,f**ked up beyond all local maintenance
1427,fubar,f**ked up beyond all recognition
1428,fubb,f**ked up beyond belief
1429,fubh,f**ked up beyond hope
1430,fubohic,f**k you Bend over here it comes
1431,fubr,f**ked Up Beyond Recognition
1432,fucken,f**king
1433,fucktard,f**king retard
1434,fuctard,f**king retard
1435,fud,"fear, uncertainty and doubt"
1436,fudh,f**k you d**k head
1437,fudie,f**k you and die
1438,fugly,f**king ugly
1439,fuh-q,f**k you
1440,fuhget,forget
1441,fuk,f**k
1442,fukin,f**king
1443,fukk,f**k
1444,fukkin,f**king
1445,fukn,f**king
1446,fukr,f**ker
1447,fulla,Full of
1448,fumfer,f**k you mother f**ker
1449,funee,funny
1450,funner,more fun
1451,funy,funny
1452,fuq,f**k you
1453,fus,f**k yourself
1454,fut,f**k You Too
1455,fuu,f**k you up
1456,fux,f**k
1457,fuxing,f**king
1458,fuxor,f**ker
1459,fuxored,f**ked
1460,fvck,f**k
1461,fwb,Friends with Benefits
1462,fwd,forward
1463,fwiw,for what it's worth
1464,fwm,Fine With Me
1465,fwob,friends with occasional benefits
1466,fwp,first world problems
1467,fxe,foxy
1468,fxp,file exchange protocol
1469,fy,f**k you
1470,fya,for your attention
1471,fyad,f**k you and die
1472,fyah,f**k you a**h**e
1473,fyb,f**k you b***h
1474,fyc,f**k your couch
1475,fye,For Your Entertainment
1476,fyeo,For your eyes only
1477,fyf,f**k your face
1478,fyfi,For Your f**king Information
1479,fyi,for your information
1480,fyk,for your knowledge
1481,fyl,For your Love
1482,fym,f**k your mom
1483,fyp,fixed your post
1484,fyrb,f**k you right back
1485,fytd,f**k you to death
1486,tf,The f**k
1487,*g*,grin
1488,g'nite,good night
1489,G. O. A. T.,Greatest Of All Time
1490,g/f,girlfriend
1491,g/g,got to go
1492,g/o,Get out
1493,g0,go
1494,g00g13,Google
1495,g1,good one
1496,g2,go to
1497,g2/-/,go to hell
1498,g2bg,got to be going
1499,g2bl8,going to be late
1500,g2cu,glad to see you
1501,g2e,got to eat
1502,g2g,got to go
1503,g2g2tb,got to go to the bathroom
1504,g2g2w,got to go to work
1505,g2g4aw,got to go for a while
1506,g2gb,got to go bye
1507,g2gb2wn,got to go back to work now
1508,g2ge,got to go eat
1509,g2gn,got to go now
1510,g2gp,got to go pee
1511,g2gpc,got 2 go parents coming
1512,g2gpp,got to go pee pee
1513,g2gs,got to go sorry
1514,g2h,go to hell
1515,g2hb,go to hell b***h
1516,g2k,good to know
1517,g2p,got to pee
1518,g2t2s,got to talk to someone
1519,g3y,gay
1520,g4u,good for you
1521,g4y,good for you
1522,g8,gate
1523,g9,good night
1524,[email protected],gay
1525,ga,go ahead
1526,gaalma,go away and leave me alone
1527,gaf,good as f**k
1528,gafi,get away from it
1529,gafl,get a f**king life
1530,gafm,Get away from me
1531,gagf,go and get f**ked
1532,gagp,go and get pissed
1533,gah,gay ass homo
1534,gai,gay
1535,gaj,get a job
1536,gal,get a life
1537,gamez,illegally obtained games
1538,gangsta,gangster
1539,gank,kill
1540,gaoep,generally accepted office etiquette principles
1541,gaw,grandparents are watching
1542,gawd,god
1543,gb,Go back
1544,gb2,go back to
1545,gba,game boy advance
1546,gbioua,Go blow it out your ass
1547,gbnf,Gone but not forgotten 
1548,gbtw,go back to work
1549,gbu,god bless you
1550,gby,good bye
1551,gcad,get cancer and die
1552,gcf,Google Click Fraud
1553,gd,good
1554,gd&r,"grins, ducks, and runs"
1555,gd4u,Good For You
1556,gday,Good Day
1557,gdby,good bye
1558,gded,grounded
1559,gdgd,good good
1560,gdi,God Damn it
1561,gdiaf,go die in a fire
1562,gdih,Go die in hell
1563,gdilf,Grandad I'd Like To f**k
1564,gdmfpos,god damn mother f**king piece of s**t
1565,gdr,"grinning, ducking, running"
1566,gemo,gay emo
1567,getcha,get you
1568,geto,ghetto
1569,gewd,good
1570,gey,gay
1571,gf,girlfriend
1572,gfad,go f**k a duck
1573,gfadh,go f**k a dead horse
1574,gfak,go fly a kite
1575,gfam,Go f**k A Monkey
1576,gfar2cu,go find a rock to crawl under
1577,gfas,go f**k a sheep
1578,gfd,god f**king damnit
1579,gfe,Girl Friend experience
1580,gfe2e,grinning from ear to ear
1581,gfg,good f**king game
1582,gfgi,go f**king google it
1583,gfi,good f**king idea
1584,gfj,good f**king job
1585,gfl,grounded for life
1586,gfm,God Forgive Me
1587,gfo,go f**k off
1588,gfu,go f**k yourself
1589,gfurs,go f**k yourself
1590,gfus,go f**k yourself
1591,gfx,graphics
1592,gfy,good for you
1593,gfyd,go f**k your dad
1594,gfym,go f**k your mom
1595,gfys,go f**k yourself
1596,gg,good game
1597,gga,good game all
1598,ggal,go get a life
1599,ggf,go get f**ked
1600,ggg,"Go, go, go! "
1601,ggi,go google it
1602,ggnore,good game no rematch
1603,ggp,gotta go pee
1604,ggpaw,gotta go parents are watching
1605,ggs,good games
1606,ggwp,Good Game Well-Played
1607,gh,good half
1608,ghei,Gay
1609,ghey,gay
1610,gigig,get it got it good
1611,gigo,garbage in garbage out
1612,gilf,Grandma I'd like to f**k
1613,gim,google instant messanger
1614,gimme,give me
1615,gimmie,give me
1616,gis,Google Image Search
1617,gitar,guitar
1618,giv,give
1619,giyf,google is your friend
1620,gj,good job
1621,gjial,go jump in a lake
1622,gjp,good job partner
1623,gjsu,god just shut up
1624,gjt,good job team
1625,gky,Go kill yourself
1626,gkys,Go kill yourself
1627,gl,good luck
1628,gl hf,"good luck, have fun"
1629,gl&hf,good luck and have fun
1630,gla,good luck all
1631,glbt,"Gay, lesbian, bisexual, transgenderd"
1632,glf,group looking for
1633,glhf,good luck have fun
1634,glln,Got Laid Last Night
1635,glnhf,Good Luck and Have Fun
1636,glty,Good luck this year
1637,glu,girl like us
1638,glu2,good luck to you too
1639,glux,good luck
1640,glwt,good luck with that
1641,gm,good morning
1642,gma,grandma
1643,gmab,give me a break
1644,gmabj,give me a blowjob
1645,gmafb,give me a f**king break
1646,gmao,Giggling my ass off
1647,Gmas,Give me a second
1648,gmfao,Giggling My f**king Ass Off
1649,gmilf,grandmother i'd like to f**k
1650,gmod,Global Moderator
1651,gmta,great minds think alike
1652,gmtyt,good morning to you too
1653,gmv,Got my vote
1654,gmybs,give me your best shot
1655,gn,good night
1656,gn8,good night
1657,gnasd,good night and sweet dreams
1658,gndn,"Goes nowhere,does nothing"
1659,gnfpwlbn,good news for people who love bad news
1660,gng,going
1661,gng2,going to
1662,gngbng,gang bang
1663,gnight,good night
1664,gnite,good night
1665,gnn,get naked now
1666,gno,going to do
1667,gnoc,get naked on cam
1668,gnos,get naked on screen
1669,gnr,Guns n' roses
1670,gnrn,get naked right now
1671,gnst,goodnight sleep tight
1672,gnstdltbbb,good night sleep tight don't let the bed bugs bite
1673,goc,get on camera
1674,goi,get over it 
1675,goia,get over it already
1676,goin,going
1677,gok,God Only Knows
1678,gokid,got observers - keep it decent
1679,gokw,God Only Knows Why
1680,gol,giggle out loud
1681,gomb,get off my back
1682,goml,get out of my life
1683,gona,Gonna
1684,gonna,going to
1685,good9,goodnite
1686,gooh,get out of here!
1687,goomh,get out of my head
1688,gork,God only really knows
1689,gosad,go suck a d**k
1690,gotc,get on the computer
1691,gotcha,got you
1692,gotta,got to
1693,gow,gears of war
1694,goya,Get Off Your Ass
1695,goyhh,get off your high horse
1696,gp,good point
1697,gpb,gotta pee bad
1698,gpwm,good point well made
1699,gpytfaht,gladly pay you tuesday for a hamburger today
1700,gr8,great
1701,gr8t,great
1702,grats,congratulations
1703,gratz,congratulations
1704,grfx,graphics
1705,grillz,metal teeth
1706,grl,girl
1707,grmbl,grumble
1708,grog,beer
1709,grrl,Girl
1710,grtg,Getting ready to go
1711,grvy,groovy
1712,gsad,go suck a d**k
1713,gsave,global struggle against violent extremists
1714,gsd,getting s**t done
1715,gsfg,Go search f**king google
1716,gsi,go suck it
1717,gsoh,Good Sense of Humor
1718,gsp,get some p***y
1719,gsta,Gangster
1720,gt,get
1721,gta,Grand Theft Auto
1722,gtas,go take a s**t
1723,gtb,Go To Bed
1724,gtf,get the f**k
1725,gtfa,Go The f**k Away
1726,gtfbtw,get the f**k back to work
1727,gtfh,go to f**king hell
1728,gtfo,get the f**k out
1729,gtfoi,get the f**k over it
1730,gtfon,Get the f**k out noob
1731,gtfooh,get the f**k out of here
1732,gtfoomf,get the f**k out of my face
1733,gtfu,grow the f**k up
1734,gtfuotb,get the f**k up out this b***h
1735,gtg,got to go
1736,gtgb,got to go bye
1737,gtgbb,got to go bye bye
1738,gtgfn,got to go for now
1739,gtglyb,got to go love you bye
1740,gtgmmiloms,got to go my mum is looking over my shoulder
1741,gtgn,got to go now
1742,gtgp,got to go pee
1743,gtgpp,got to go pee pee
1744,gtgtb,got to go to bed
1745,gtgtpirio,got to go the price is right is on
1746,gtgtwn,Got to go to work now
1747,gth,go to hell
1748,gtha,go the hell away
1749,gthb,go to hell b***h
1750,gthmf,go to hell mothaf**ka
1751,gtho,get the hell out
1752,gthu,grow the heck up
1753,gthyfah,go to hell you f**king a**h**e
1754,gtk,good to know
1755,gtm,giggling to myself
1756,gtn,getting
1757,gtp,Got to pee
1758,gtr,Got to run
1759,gts,going to school
1760,gtsy,good to see you
1761,gttp,get to the point
1762,gtty,good talking to you
1763,gu,grow up
1764,gu2i,get used to it 
1765,gud,good
1766,gudd,good
1767,gui,graphical user interface
1768,gurl,girl
1769,gurlz,girls
1770,guru,expert
1771,gw,good work
1772,gwijd,guess what i just did
1773,gwm,gay white male
1774,gwork,good work
1775,gwrk,good work
1776,gws,get well soon
1777,gwytose,go waste your time on someone else
1778,gy,gay
1779,gyal,girl
1780,gypo,Get Your Penis Out
1781,h&k,hugs and kisses
1782,h*r,homestar runner
1783,h+k,hugs and kisses
1784,h.o,hold on
1785,h/e,However
1786,h/mo,homo
1787,h/o,hold on
1788,h/u,hold up
1789,h/w,homework
1790,h2,Halo 2
1791,h2gtb,have to go to the bathroom
1792,h2o,water
1793,h2sys,hope to see you soon
1794,h3y,hey
1795,h4kz0r5,hackers
1796,h4x,Hacks
1797,h4x0r,hacker
1798,h4xor,hacker
1799,h4xr,hacker
1800,h4xrz,hackers
1801,h4xx0rz,hacker
1802,h4xxor,hacker
1803,h8,hate
1804,h80r,hater
1805,h82sit,hate to say it
1806,h83r,hater
1807,h8ed,hated
1808,h8er,hater
1809,h8r,hater
1810,h8red,Hatred
1811,h8s,hates
1812,h8t,hate
1813,h8t0r,hater
1814,h8t3r,hater
1815,h8te,hate
1816,h8ter,hater
1817,h8tr,hater
1818,h8u,I Hate You
1819,h9,Husband in Room
1820,[email protected],Hacker
1821,habt,how about this
1822,hafta,have to
1823,hagd,have a good day
1824,hagl,have a great life
1825,hagn,have a good night
1826,hago,have a good one
1827,hags,have a great summer
1828,hai,hello
1829,hait,hate
1830,hak,here's a kiss
1831,hakas,have a kick ass summer
1832,hammrd,hammered
1833,han,how about now
1834,hau,How Are You
1835,hav,have
1836,havnt,haven't
1837,hawf,Husband and Wife forever
1838,hawt,hot
1839,hawtie,hottie
1840,hax,Hacks
1841,hax0r,hacker
1842,hax0red,hacked
1843,hax0rz,Hackers
1844,haxer,Hacker
1845,haxor,hacker
1846,haxoring,hacking
1847,haxors,hackers
1848,haxorz,hackers
1849,haxxor,hacker
1850,haxxzor,Hacker
1851,haxz0r,Hacker
1852,haxzor,hacker
1853,hayd,how are you doing
1854,hb,hurry back
1855,hb4b,hoes before bros
1856,hbd,happy birthday
1857,hbic,head b***h in charge
1858,hbii,how big is it
1859,hbu,how about you
1860,hbuf,how about your family
1861,hby,how about you
1862,hc,how come
1863,hcbt1,he could be the one
1864,hcib,how can it be
1865,hcihy,how can I help you
1866,hdop,Help Delete Online Predators
1867,hdu,how dare you
1868,hdydi,How do you do it
1869,hdydt,how did you do that
1870,heh,haha
1871,hella,very
1872,heya,hey
1873,heyt,hate
1874,heyy,hello
1875,heyya,hello
1876,hf,have fun
1877,hfn,Hell f**king no
1878,hfs,holy f**king s**t!
1879,hfsbm,holy f**king s**t batman
1880,hfwt,have fun with that
1881,hg,HockeyGod
1882,hght,height
1883,hhiad,holy hole in a doughnut
1884,hhiadb,Holy Hole in a Donut Batman
1885,hhok,Ha Ha Only Kidding
1886,hhyb,how have you been
1887,hi2u,hello
1888,hi2u2,hello to you too
1889,hiet,height
1890,hiik,Hell If I Know
1891,hijack,start an off topic discussion
1892,hith,how in the hell
1893,hiw,husband is watching
1894,hiya,hello 
1895,hiybbprqag,copying somebody else's search results
1896,hj,hand job
1897,hl,Half-Life
1898,hl2,Half-Life 2
1899,hla,Hot lesbian action
1900,hlb,horny little b*****d
1901,hld,hold
1902,hldn,hold on
1903,hldon,hold on
1904,hll,Hell
1905,hlm,he loves me
1906,hlo,hello
1907,hlp,help
1908,hly,holy
1909,hlysht,Holy s**t
1910,hmb,hold me back
1911,hmewrk,homework
1912,hmfic,head mother f**ker in charge
1913,hml,hate my life
1914,hmoj,holy mother of jesus
1915,hmp,help me please
1916,hmu,Hit Me Up
1917,hmul,Hit me up later
1918,hmus,Hit me up sometime
1919,hmw,homework
1920,hmwk,homework
1921,hmwrk,Homework
1922,hng,horny net geek
1923,hngry,hungry
1924,hnic,head n****r in charge
1925,ho,hold on
1926,hoas,Hang on a second
1927,hoay,how old are you
1928,hodl,hold
1929,hoh,head of household
1930,hom,home
1931,homey,Friend
1932,homie,good friend
1933,homo,homosexual
1934,hoopty,broke down automobile
1935,hott,hot
1936,howdey,hello
1937,howz,hows
1938,hpb,high ping b*****d
1939,hpoa,Hot Piece of Ass
1940,hppy,Happy
1941,hpy,happy
1942,hpybdy,happy birthday
1943,hr,hour
1944,hre,here
1945,hrny,horny
1946,hrs,hours
1947,hru,how are you
1948,hrud,how are you doing
1949,hruf,how are you friend
1950,hs,headshot
1951,hsd,high school dropout
1952,hsik,how should i know
1953,hsr,homestar runner
1954,hss,horse s**t and splinters
1955,hswm,Have Sex With me
1956,ht,Heard Through
1957,htc,hit the cell
1958,htf,how the f**k
1959,htfu,Hurry the f**k up
1960,htg,have to go
1961,hth,hope that helps
1962,hthu,Hurry the hell up
1963,htr,hater
1964,http,hyper text transfer protocol
1965,hu,Hey you
1966,hubby,husband
1967,hud,Heads Up Display
1968,huggle,hug and cuddle
1969,hugz,hugs
1970,hun,honey
1971,hv,have
1972,hve,have
1973,hvnt,haven't
1974,hw,homework
1975,hw/hw,help me with homework 
1976,hwg,here we go
1977,hwga,here we go again
1978,hwik,how would i know
1979,hwk,homework
1980,hwmbo,he who must be obeyed
1981,hwmnbn,he who must not be named
1982,hwms,hot wild monkey sex
1983,hwu,hey what's up
1984,hwz,how is
1985,hxc,hardcore
1986,hy,hell yeah
1987,hyb,how you been
1988,hyg,here you go
1989,hyk,how you know
1990,i <3 u,I love you
1991,i c,i see
1992,i8,alright
1993,i8u,i hate you
1994,i<3 u,i love you
1995,i<3u,I love you
1996,iab,I Am Bored
1997,iafh,I Am f**king Hot
1998,iafi,I am from India
1999,iag,it's all good
2000,iah,i am horny
2001,iai,i am interested
2002,iajsn,I am just scraping noslang.com
2003,ianabs,I am not a brain surgeon
2004,ianacl,I am not a copyright lawyer
2005,ianal,I am not a lawyer
2006,ianalb,"I am not a lawyer, but.."
2007,ianars,I am not a rocket scientist
2008,ians,I am Not Sure
2009,ianyl,I am not your lawyer
2010,iap,I Am Pissed
2011,iasb,i am so bored
2012,iaspfm,"i am sorry please forgive
me"
2013,iatb,I am the best
2014,iateu,i hate you
2015,iavb,i am very bored
2016,iaw,In Another Window
2017,iawtc,I agree with this comment
2018,iawtp,I agree with this post
2019,iawy,I agree with you
2020,ib,I'm back
2021,ibbl,I'll be back later
2022,ibcd,Idiot between chair & desk
2023,ibs,Internet b***h Slap 
2024,ibt,I'll be there
2025,ibtl,In Before The Lock
2026,ibw,I'll be waiting
2027,ic,I see
2028,icb,I can't believe
2029,icbi,i can't believe it
2030,icbiwoop,"I chuckled, but it was out of pity."
2031,icbt,i can't believe that
2032,icbu,I can't believe you
2033,icbyst,i cant believe you said that
2034,iccl,I could care less
2035,icgup,I can give you pleasure
2036,icic,I See. I See
2037,icp,insane clown posse
2038,icr,I can't rememer
2039,icsrg,I can still reach Google
2040,ictrn,I can't talk right now
2041,icty,i can't tell you 
2042,icu,i see you
2043,icudk,in case you didn't know
2044,icup,i see you pee
2045,icw,I care why?
2046,icwudt,I see what you did there
2047,icwum,I see what you mean
2048,icydk,in csae you didn't know
2049,icydn,in case you didn't know
2050,icymi,in case you missed it
2051,id10t,idiot
2052,idac,I don't actually care
2053,idak,i don't actually know
2054,idbtwdsat,I don't believe they would do such a thing
2055,idby,I Don't Believe You
2056,idc,I don't care
2057,iddi,I didn't do it
2058,idec,I don't even care
2059,idek, I don't even know
2060,idfc,i don't f**king care
2061,idfk,i don't f**king know
2062,idfts,I don't f**king think so
2063,idgac,i don't give a crap
2064,idgad,I don't give a damn
2065,idgaf,i don't give a f**k
2066,idgaff,I don't give a flying f**k
2067,idgafs,I don't give a f**king s**t
2068,idgara,I don't give a rat's ass
2069,idgas,i don't give a s**t
2070,idgi,I don't get it
2071,idjit,idiot
2072,idk,I don't know
2073,idkbibt,I don't know but I've Been Told
2074,idke,I don't know ethier
2075,idkh,I don't know how
2076,idkh2s,i don't know how to spell
2077,idkt,I don't know that
2078,idkw,I don't know why
2079,idkwiwdwu,I don't know what I would do without you
2080,idkwts,I don't know what to say
2081,idkwurta,I don't know what you are talking about.
2082,idkwym,I don't know what you mean
2083,idky,I don't know you
2084,idkyb,i don't know why but
2085,idkymb2,I didn't know yoru mom blogs too
2086,idl,I don't like
2087,idli,I don't like it
2088,idlu,i don't like you
2089,idly,I don't like you
2090,idlyitw,i don't like you in that way
2091,idm,I don't mind
2092,idmhw,im doing my homework
2093,idn,i don't know
2094,idnk,i don't know
2095,idno,i do not know
2096,idntk,i dont need to know
2097,idnwths,i do not want to have sex
2098,idonno,i do not know
2099,idop,it depends on price
2100,idot,idiot
2101,idr,I don't remember
2102,idrc,i don't really care
2103,idrfk,I don't really f**king know
2104,idrgaf,I don't really give a f**k
2105,idrgaff,i don't really give a flying f**k
2106,idrk,i don't really know
2107,idrts,I don't really think so
2108,idsw,i don't see why
2109,idtis,I don't think I should
2110,idtkso,i don't think so
2111,idts,i don't think so
2112,idu,I don't understand
2113,idunno,i do not know
2114,iduwym,I don't understand what you mean.
2115,idw2,I don't want to
2116,idw2n,i don't want to know
2117,idwk,I don't wanna know
2118,idwt,i don't want to
2119,idwtg,I don't want to go
2120,idyat,idiot
2121,iebkac,issue exists between keyboard and chair
2122,ietf,internet engineering task force
2123,iff,if and only if
2124,ifhu,I f**king hate you
2125,ifhy,i f**king hate you
2126,ifk,I f**king know
2127,iflu,i f**king love you
2128,ifthtb,i find that hard to belive
2129,ifttt,if this then that 
2130,ifwis,I forgot what I said
2131,ig,I guess
2132,ig2g,I got to go
2133,ig5oi,I got 5 on it 
2134,igahp,I've got a huge penis
2135,igalboc,I've got a lovely bunch of cocnuts
2136,igg,i gotta go
2137,ight,alright
2138,igkymfa,I'm gonna kick your mother f**king ass
2139,igs,I guess so
2140,igt,I Got This
2141,igtg,i've got to go
2142,igtgt,I got to go tinkle
2143,igtkya,im going to kick your ass
2144,igu,i give up
2145,igyb,I Got Your Back
2146,ih,it happens
2147,ih2gp,I have to go pee
2148,ih2p,i'll have to pass
2149,ih8,i hate
2150,ih8evry1,i hate everyone
2151,ih8mls,I hate my little sister 
2152,ih8p,I hate parents
2153,ih8tu,i hate you
2154,ih8u,I hate you
2155,ih8usm,i hate you so much
2156,ih8y,I hate you
2157,ihac,I have a customer
2158,ihat3u,I hate you
2159,IHDK,I Honestly Don't Know
2160,ihistr,i hope i spelled that right
2161,ihiwydt,I hate it when you do that
2162,ihml,I hate my life
2163,ihmp,i hate my parents
2164,ihnc,i have no clue
2165,ihnfc,I have no f**king clue
2166,ihni,i have no idea
2167,iht,I heard that
2168,ihtfp,I hate this f**king place
2169,ihtgttbwijd,"I have to go to the bathroom, wait I just did."
2170,ihtp,I Have To Poop
2171,ihtsm,i hate this so much
2172,ihtutbr,I have to use the bathroom
2173,ihu,I hate you
2174,ihurg,i hate your guts
2175,ihusb,i hate you so bad 
2176,ihusfm,i hate you so f**king much
2177,ihusm,i hate you so much
2178,ihy,i hate you
2179,ihya,i hate you all
2180,ihysm,I hate you so much
2181,ihysmrn,i hate you so much right now
2182,iigh,alright
2183,iight,alright
2184,iiok,is it okay
2185,iirc,if I recall correctly
